"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.jfree.chart.labels","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/labels/AbstractXYItemLabelGenerator.java","3","53","The class 'AbstractXYItemLabelGenerator' has a total cyclomatic complexity of 32 (highest 9).","Design","CyclomaticComplexity"
"1","org.jfree.chart.labels","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/labels/HighLowItemLabelGenerator.java","3","53","The class 'HighLowItemLabelGenerator' has a total cyclomatic complexity of 23 (highest 7).","Design","CyclomaticComplexity"
"1","org.jfree.chart.labels","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/labels/IntervalXYItemLabelGenerator.java","3","53","The class 'IntervalXYItemLabelGenerator' has a total cyclomatic complexity of 26 (highest 15).","Design","CyclomaticComplexity"
"1","org.jfree.chart.labels","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/labels/IntervalXYToolTipGenerator.java","3","53","The class 'IntervalXYToolTipGenerator' has a total cyclomatic complexity of 26 (highest 15).","Design","CyclomaticComplexity"
"1","org.jfree.chart.legend","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/legend/LegendGraphic.java","3","36","High amount of different objects as members denotes a high coupling","Design","CouplingBetweenObjects"
"2","org.jfree.chart.legend","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/legend/LegendGraphic.java","3","68","Possible God Class (WMC=84, ATFD=47, TCC=0.300%)","Design","GodClass"
"3","org.jfree.chart.legend","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/legend/LegendGraphic.java","3","68","The class 'LegendGraphic' has a total cyclomatic complexity of 84 (highest 21).","Design","CyclomaticComplexity"
"1","org.jfree.chart.legend","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/legend/LegendItem.java","3","40","High amount of different objects as members denotes a high coupling","Design","CouplingBetweenObjects"
"2","org.jfree.chart.legend","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/legend/LegendItem.java","3","73","Possible God Class (WMC=87, ATFD=26, TCC=0.000%)","Design","GodClass"
"3","org.jfree.chart.legend","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/legend/LegendItem.java","3","73","The class 'LegendItem' has a total cyclomatic complexity of 87 (highest 22).","Design","CyclomaticComplexity"
"1","org.jfree.chart.legend","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/legend/LegendTitle.java","3","37","High amount of different objects as members denotes a high coupling","Design","CouplingBetweenObjects"
"2","org.jfree.chart.legend","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/legend/LegendTitle.java","3","85","Possible God Class (WMC=66, ATFD=75, TCC=0.947%)","Design","GodClass"
"3","org.jfree.chart.legend","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/legend/LegendTitle.java","3","85","The class 'LegendTitle' has a total cyclomatic complexity of 66 (highest 13).","Design","CyclomaticComplexity"
"1","org.jfree.chart.legend","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/legend/PaintScaleLegend.java","3","37","High amount of different objects as members denotes a high coupling","Design","CouplingBetweenObjects"
"2","org.jfree.chart.legend","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/legend/PaintScaleLegend.java","3","73","Possible God Class (WMC=81, ATFD=113, TCC=2.116%)","Design","GodClass"
"3","org.jfree.chart.legend","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/legend/PaintScaleLegend.java","3","73","The class 'PaintScaleLegend' has a total cyclomatic complexity of 81 (highest 20).","Design","CyclomaticComplexity"
"1","org.jfree.chart.plot","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/plot/CategoryPlot.java","3","41","High amount of different objects as members denotes a high coupling","Design","CouplingBetweenObjects"
"2","org.jfree.chart.plot","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/plot/CategoryPlot.java","3","116","Possible God Class (WMC=622, ATFD=307, TCC=1.398%)","Design","GodClass"
"3","org.jfree.chart.plot","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/plot/CategoryPlot.java","3","116","The class 'CategoryPlot' has a total cyclomatic complexity of 622 (highest 52).","Design","CyclomaticComplexity"
"1","org.jfree.chart.plot","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/plot/CombinedDomainCategoryPlot.java","3","37","High amount of different objects as members denotes a high coupling","Design","CouplingBetweenObjects"
"2","org.jfree.chart.plot","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/plot/CombinedDomainCategoryPlot.java","3","66","Possible God Class (WMC=75, ATFD=74, TCC=7.609%)","Design","GodClass"
"3","org.jfree.chart.plot","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/plot/CombinedDomainCategoryPlot.java","3","66","The class 'CombinedDomainCategoryPlot' has a total cyclomatic complexity of 75 (highest 12).","Design","CyclomaticComplexity"
"1","org.jfree.chart.plot","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/plot/CombinedDomainXYPlot.java","3","42","High amount of different objects as members denotes a high coupling","Design","CouplingBetweenObjects"
"2","org.jfree.chart.plot","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/plot/CombinedDomainXYPlot.java","3","74","Possible God Class (WMC=88, ATFD=64, TCC=5.172%)","Design","GodClass"
"3","org.jfree.chart.plot","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/plot/CombinedDomainXYPlot.java","3","74","The class 'CombinedDomainXYPlot' has a total cyclomatic complexity of 88 (highest 11).","Design","CyclomaticComplexity"
